,votes,budget,runtime_norm,runtime,popularity_norm,votes_norm,genre,year,rating,score,budget_norm,score_norm,popularity,country,isprofit,profitability_ratio
0,36636,9000000,-1.0930931840459537,90,-0.7512270589940607,-0.3926747394814014,1,1986,3,6.9,-0.916351027438456,0.7461832065070303,5.526865,1,1,1.062734778
1,146768,6000000,1.0392409586655489,120,-0.08830318318961579,1.3633607905976894,6,1986,5,7.8,-1.044247265653801,1.816498134545143,7.8822470000000004,1,1,0.42520466700000004
2,104860,16000000,0.7549297396373484,116,2.4414163780927347,0.695145040456454,0,1986,5,7.2,-0.6179264716026508,1.1029548491864012,16.870392000000002,0,0,-0.63125
3,12228,6000000,-0.3823151364754528,100,-1.019031606912855,-0.7818560420834648,4,1986,4,6.8,-1.044247265653801,0.627259325613906,4.57535,1,1,0.3666666670000001
4,101678,25000000,-0.453392941232503,99,0.8201309689249332,0.6444086054810457,0,1986,4,7.3,-0.2342377569566153,1.2218787300795244,11.109932,1,0,-0.556
5,54000,15000000,1.0392409586655489,120,-2.2113712562457795,-0.11580878822024815,5,1986,5,7.2,-0.6605585510077658,1.1029548491864012,0.338943,1,0,-0.4252714
6,24881,10000000,-0.524470745989553,98,-0.4452302161104103,-0.5801061640998567,0,1986,5,5.4,-0.8737189480333408,-1.0376750068898253,6.614078,1,0,-0.2566337
7,53327,25000000,-0.8087819650177533,94,-0.22144849553345536,-0.12653965583132598,4,1986,4,6.9,-0.2342377569566153,0.7461832065070303,7.409178999999999,1,1,0.5498954
8,11635,2700000,-0.8798597697748034,93,-0.15144073375905012,-0.7913113236486493,0,1986,4,5.9,-1.184933127690681,-0.4430556024242068,7.657918,1,1,0.296296296
9,36020,35000000,0.32846291109504794,110,0.7111363769037535,-0.4024967520347803,0,1986,3,4.6,0.1920830370945352,-1.989066054034816,10.722672,1,0,-0.534406457
10,21253,4700000,-1.1641709888030038,89,0.3672990524106847,-0.6379539912811204,4,1986,6,5.6,-1.0996689688804508,-0.7998272451035787,9.501011,1,1,0.70763234
11,32954,15000000,1.7500190062360497,130,-0.2268430608003817,-0.4513835872436432,0,1986,5,6.8,-0.6605585510077658,0.627259325613906,7.390012,1,1,1.8482678
12,66366,25000000,0.9681631539084988,119,1.2386548913690332,0.08136492482371761,1,1986,3,7.3,-0.2342377569566153,1.2218787300795244,12.596956,1,1,3.38852528
13,42997,25000000,-0.8087819650177533,94,0.011393685474078851,-0.2912497040073058,0,1986,4,5.9,-0.2342377569566153,-0.4430556024242068,8.236472000000001,1,1,2.19271748
14,12862,1900000,-0.453392941232503,99,-1.0451814714464498,-0.77174702266976,5,1986,5,7.1,-1.2190387912147729,0.9840309682932769,4.482439,1,1,1.4210526319999999
15,57406,25000000,-0.09800391744725254,104,-0.5117803562275821,-0.06150071231633845,4,1986,3,6.4,-0.2342377569566153,0.15156380204141173,6.377624,1,1,0.56986936
16,62495,13800000,0.9681631539084988,119,0.9619041519975056,0.01964250502805277,6,1986,5,7.0,-0.7117170462939039,0.8651070874001535,11.613655,1,1,2.7894189860000003
17,41278,10000000,-1.0220153792889035,91,-0.3211706947587408,-0.3186588591684393,4,1986,3,6.3,-0.8737189480333408,0.032639921148287405,7.054864,1,1,2.7499651000000003
18,23076,25000000,0.8260075443943985,117,-0.5547761700222302,-0.6088865742603256,1,1986,3,6.6,-0.2342377569566153,0.3894115638276583,6.2248589999999995,1,0,-0.42788884
19,16636,4500000,-1.377404403074154,86,-0.1895105976762135,-0.7115712509547408,9,1986,5,6.7,-1.1081953847614738,0.5083354447207826,7.522655,1,0,-0.719777778
20,28529,18000000,-0.16908172220430262,103,-0.20386458257803697,-0.5219394404071196,4,1986,4,6.3,-0.5326623127924207,0.032639921148287405,7.471655,1,1,1.299046722
21,20669,19000000,-1.0220153792889035,91,-0.4207271195309446,-0.6472657694161421,9,1986,4,5.7,-0.4900302333873056,-0.6809033642104544,6.701138,1,1,1.1577192109999999
22,11484,18000000,0.11522949682389773,107,-0.5005797447932102,-0.7937189923102731,1,1986,3,5.6,-0.5326623127924207,-0.7998272451035787,6.41742,1,0,-0.46123672200000004
23,36539,14000000,-2.230338060158755,74,0.8409560679613196,-0.3942213875620471,2,1986,0,7.2,-0.7031906304128809,1.1029548491864012,11.183924000000001,1,1,1.7571428569999998
24,33609,6000000,-1.5195600125882542,84,-0.4043908774592479,-0.44093972649289137,2,1986,3,7.3,-1.044247265653801,1.2218787300795244,6.759181,1,0,-0.025058833
25,16077,5000000,-1.2352487935600538,88,-0.7698925869294339,-0.7204844084504207,4,1986,5,6.8,-1.0868793450589165,0.627259325613906,5.460546,1,0,-0.8817268
26,11607,6500000,0.3995407158520981,111,0.5337312557418525,-0.7917577787647121,5,1986,5,7.0,-1.0229312259512435,0.8651070874001535,10.092348,1,0,-0.6389230770000001
27,5340,15000000,-0.524470745989553,98,0.7190383863175497,-0.8916840006348828,1,1986,5,5.3,-0.6605585510077658,-1.1565988877829496,10.750748,1,0,-0.8697511999999998
28,15819,12000000,1.3946299824507993,125,-0.27337502099319666,-0.7245981734484268,0,1986,5,5.6,-0.788454789223111,-0.7998272451035787,7.224683,1,1,0.48074166700000004
29,9965,18000000,0.4706185206091481,112,-0.3777653612691023,-0.8179391823566732,4,1986,4,6.2,-0.5326623127924207,-0.08628395974483588,6.8537820000000025,1,1,1.0339783329999999
