,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
0,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,1986-08-22 00:00:00,89,8.1,Wil Wheaton,299174,Stephen King,1986,1,5.53592675,550
1,6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,1986-06-11 00:00:00,103,7.8,Matthew Broderick,264740,John Hughes,1986,1,10.689394833333333,1070
2,15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,1986-05-16 00:00:00,110,6.9,Tom Cruise,236909,Jim Cash,1986,1,10.986706733333333,1100
3,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,1986-07-18 00:00:00,137,8.4,Sigourney Weaver,540152,James Cameron,1986,1,3.6032566486486486,360
4,9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,1986-08-01 00:00:00,90,6.9,Joey Cramer,36636,Mark H. Baker,1986,1,1.0627347777777778,110
5,6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,1987-02-06 00:00:00,120,8.1,Charlie Sheen,317585,Oliver Stone,1986,1,22.0884275,2210
6,25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,1986-06-27 00:00:00,101,7.4,David Bowie,102879,Dennis Lee,1986,0,-0.49080332,-50
7,6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,1986-10-23 00:00:00,120,7.8,Isabella Rossellini,146768,David Lynch,1986,1,0.4252046666666667,40
8,9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,1986-02-28 00:00:00,96,6.8,Molly Ringwald,60565,John Hughes,1986,1,3.4968514444444443,350
9,15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,1986-08-15 00:00:00,96,7.5,Jeff Goldblum,129698,George Langelaan,1986,1,1.6971043333333333,170
10,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,1986-09-26 00:00:00,97,6.5,Paul Hogan,79465,Ken Shadie,1986,1,18.844886363636363,1880
11,16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,1986-03-07 00:00:00,116,7.2,Christopher Lambert,104860,Gregory Widen,1986,0,-0.63125,-60
12,6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,1986-03-28 00:00:00,100,6.8,Corey Haim,12228,David Seltzer,1986,1,0.36666666666666664,40
13,25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,1986-07-02 00:00:00,99,7.3,Kurt Russell,101678,Gary Goldman,1986,0,-0.556,-60
14,15000000,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,1986-08-15 00:00:00,120,7.2,William Petersen,54000,Thomas Harris,1986,0,-0.4252714,-40
15,17000000,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9½ Weeks,R,1986-02-21 00:00:00,117,5.9,Mickey Rourke,31798,Elizabeth McNeill,1986,0,-0.6038327058823529,-60
16,10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,1986-07-25 00:00:00,98,5.4,Emilio Estevez,24881,Stephen King,1986,0,-0.2566337,-30
17,25000000,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,1986-12-19 00:00:00,94,6.9,Rick Moranis,53327,Howard Ashman,1986,1,0.5498954,50
18,2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,1986-11-21 00:00:00,93,5.9,Charlie Sheen,11635,Mike Marvin,1986,1,0.2962962962962963,30
19,35000000,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,1986-08-01 00:00:00,110,4.6,Lea Thompson,36020,Steve Gerber,1986,0,-0.5344064571428572,-50
