,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released
0,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,22.08.1986 00:00,89,8.1,Wil Wheaton,299174,Stephen King,1986,1,5.53592675,550,FALSE,235,tt0092005,Stand by Me,"After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.",15.206957000000001,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand by Me,"Crime, Drama",en,US,"based on novel, friendship, coming of age, railroad track, story within the story,  flipping coin, campfire story, reference to superman, normandy beach, child, 1950s, boys",1986
1,6000000,Paramount Pictures,USA,Other,Comedy,70136369,Ferris Bueller's Day Off,PG-13,11.06.1986 00:00,103,7.8,Matthew Broderick,264740,John Hughes,1986,1,10.68939483,1070,FALSE,9377,tt0091042,Ferris Bueller's Day Off,Charismatic teen Ferris Bueller plays hooky in Chicago with his girlfriend and best friend.,12.724644999999999,One man's struggle to take it easy.,Ferris Bueller's Day Off,Comedy,en,US,"chicago, high school, aftercreditsstinger, duringcreditsstinger",1986
2,15000000,Paramount Pictures,USA,Other,Action,179800601,Top Gun,PG,16.05.1986 00:00,110,6.9,Tom Cruise,236909,Jim Cash,1986,1,10.98670673,1100,FALSE,744,tt0092099,Top Gun,"For Lieutenant Pete 'Maverick' Mitchell and his friend and Co-Pilot Nick 'Goose' Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.",20.301019,Up there with the best of the best.,Top Gun,"Action, Romance, War",en,US,"lovesickness, loss of lover, fighter pilot, self-discovery, pilot, ejection seat, dying and death, officer, training camp, air force, airplane, dangerous, battle assignment, u.s. navy, hostility, secret love, cowardliness, pilot school",1986
3,18500000,Twentieth Century Fox Film Corporation,USA,Other,Action,85160248,Aliens,R,18.07.1986 00:00,137,8.4,Sigourney Weaver,540152,James Cameron,1986,1,3.603256649,360,FALSE,679,tt0090605,Aliens,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",21.761179000000002,This Time It's War,Aliens,"Horror, Action, Thriller, Science Fiction",en,"GB, US","android, extraterrestrial technology, space marine, spaceman, cryogenics, vacuum, space colony, warrior woman, settler, space travel, colony, alien, xenomorph",1986
4,9000000,Walt Disney Pictures,USA,Other,Adventure,18564613,Flight of the Navigator,PG,1.08.1986 00:00,90,6.9,Joey Cramer,36636,Mark H. Baker,1986,1,1.062734778,110,FALSE,10122,tt0091059,Flight of the Navigator,"This 1986 Disney adventure tells the story of 12-year-old David who lives with his family in Fort Lauderdale, Fla. When he awakens from being accidentally knocked out in the forest near his home, he finds that eight years have passed. His family is overjoyed to have him back, but just as perplexed as he is by the fact that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",5.526865,Come along on the greatest adventure of the summer!,Flight of the Navigator,"Family, Science Fiction, Adventure",en,US,"artificial intelligence, farewell, homesickness, nasa, extraterrestrial technology, flying saucer, time travel, adventure, alien, kids and family, dog",1986
5,6000000,Other,Other,Oliver Stone,Drama,138530565,Platoon,R,6.02.1987 00:00,120,8.1,Charlie Sheen,317585,Oliver Stone,1986,1,22.088427499999998,2210,FALSE,792,tt0091763,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",18.206972,The first casualty of war is innocence.,Platoon,"Drama, War, Action","en, vi","GB, US","famous score, hero, mine, vietnam war, village, gore, jungle, f word, soldier, battle, combat, 1960s",1987
6,6000000,Other,USA,Other,Drama,8551228,Blue Velvet,R,23.10.1986 00:00,120,7.8,Isabella Rossellini,146768,David Lynch,1986,1,0.42520466700000004,40,FALSE,793,tt0090756,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",7.8822470000000004,It's a strange world.,Blue Velvet,"Crime, Drama, Mystery, Thriller",en,US,"small town, ear, suspense, independent film, policeman, ear cut off",1986
7,9000000,Paramount Pictures,USA,Other,Comedy,40471663,Pretty in Pink,PG-13,28.02.1986 00:00,96,6.8,Molly Ringwald,60565,John Hughes,1986,1,3.496851444,350,FALSE,11522,tt0091790,Pretty in Pink,"Andie is an outcast, hanging out either with her older boss, who owns the record store where she works, or her quirky high school classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realize that dating someone from a different social sphere is not easy.",8.568378,Blane's a pretty cool guy. Andie's pretty in pink. And Ducky's pretty crazy.,Pretty in Pink,Comedy,en,US,"record store, lovesickness, class, love, crush, outcast, teenage crush, slumber party, relationship, family, school life, origin",1986
8,8800000,Other,Other,Other,Adventure,174635000,Crocodile Dundee,PG-13,26.09.1986 00:00,97,6.5,Paul Hogan,79465,Ken Shadie,1986,1,18.84488636,1880,FALSE,9671,tt0090555,Crocodile Dundee,"When a New York reporter plucks crocodile hunter Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. Dundee proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",7.791212,There's a little of him in all of us.,Crocodile Dundee,"Adventure, Comedy",en,AU,"new york, prostitute, hotel, journalist, culture clash, subway, crocodile, wilderness, knife, tourist, limousine, poacher, city, australian outback, kangaroo",1986
9,16000000,Other,Other,Other,Action,5900000,Highlander,R,7.03.1986 00:00,116,7.2,Christopher Lambert,104860,Gregory Widen,1986,0,-0.63125,-60,FALSE,8009,tt0091203,Highlander,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,16.870392000000002,There can be only one.,Highlander,"Adventure, Action, Fantasy",en,"GB, US","new york, scotland, swordplay, sword, cut-off head, immortality",1986
10,6000000,Twentieth Century Fox Film Corporation,USA,Other,Comedy,8200000,Lucas,PG-13,28.03.1986 00:00,100,6.8,Corey Haim,12228,David Seltzer,1986,1,0.36666666700000006,40,FALSE,13346,tt0091445,Lucas,"A socially inept fourteen year old experiences heartbreak for the first time when his two best friends -- Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love -- fall for each other.",4.57535,It's about falling in love.  For the first time.,Lucas,"Comedy, Drama, Romance",en,US,"high school, american football team, cheerleading",1986
11,25000000,Twentieth Century Fox Film Corporation,USA,Other,Action,11100000,Big Trouble in Little China,PG-13,2.07.1986 00:00,99,7.3,Kurt Russell,101678,Gary Goldman,1986,0,-0.556,-60,FALSE,6978,tt0090728,Big Trouble in Little China,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",11.109932,Adventure doesn't come any bigger!,Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy","cn, en",US,"kung fu, chinatown, magic, mystery",1986
12,15000000,Other,USA,Other,Crime,8620929,Manhunter,R,15.08.1986 00:00,120,7.2,William Petersen,54000,Thomas Harris,1986,0,-0.4252714,-40,FALSE,11454,tt0091474,Manhunter,"FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer.",0.338943,Enter the mind of a serial killer… you may never come back,Manhunter,"Crime, Horror, Thriller",en,US,"loss of family, covered investigation, eye, full moon, investigation, psychopath, psychoterror, serial killer, fbi agent",1986
13,10000000,Other,USA,Other,Action,7433663,Maximum Overdrive,R,25.07.1986 00:00,98,5.4,Emilio Estevez,24881,Stephen King,1986,0,-0.2566337,-30,FALSE,9980,tt0091499,Maximum Overdrive,"When a comet passes close to the earth, machines all over the world come alive and go on homicidal rampages. A group of people at a desolate truck stop are held hostage by a gang of homicidal 18-wheelers. The frightened people set out to defeat the killer machines ... or be killed by them.",6.614078,Stephen King's masterpiece of terror directed by the master himself.,Maximum Overdrive,"Action, Drama, Horror, Science Fiction",en,US,"man vs machine, gas station, roadhouse, apparats and technics, siege, lorry, comet, automation, truck, arcade, exploding truck, exploding gasoline station",1986
14,25000000,Other,USA,Other,Comedy,38747385,Little Shop of Horrors,PG-13,19.12.1986 00:00,94,6.9,Rick Moranis,53327,Howard Ashman,1986,1,0.5498954,50,FALSE,10776,tt0091419,Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",7.409178999999999,Don't feed the plants.,Little Shop of Horrors,"Horror, Comedy, Music",en,US,"flower, solar eclipse, florist, assistant, plant, success, aggression by plant, investigation, nerd, blonde, carnivorous plant, remake, crush, based on play or musical, motorcycle, eclipse, part animated, dentist, bum, killer plant, skid row, based on movie, plant food, flesh eating plant, inept assistant, cult classic, man eating plant",1986
