,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released,budget_norm,runtime_norm,score_norm,votes_norm,popularity_norm
0,9000000,Walt Disney Pictures,USA,Other,Adventure,18564613,Flight of the Navigator,PG,1.08.1986 00:00,90,6.9,Joey Cramer,36636,Mark H. Baker,1986,1,1.062734778,110,FALSE,10122,tt0091059,Flight of the Navigator,"This 1986 Disney adventure tells the story of 12-year-old David who lives with his family in Fort Lauderdale, Fla. When he awakens from being accidentally knocked out in the forest near his home, he finds that eight years have passed. His family is overjoyed to have him back, but just as perplexed as he is by the fact that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",5.526865,Come along on the greatest adventure of the summer!,Flight of the Navigator,"Family, Science Fiction, Adventure",en,US,"artificial intelligence, farewell, homesickness, nasa, extraterrestrial technology, flying saucer, time travel, adventure, alien, kids and family, dog",1986,-0.9163510274384561,-1.0930931840459537,0.7461832065070303,-0.3926747394814014,-0.7512270589940607
1,6000000,Other,USA,Other,Drama,8551228,Blue Velvet,R,23.10.1986 00:00,120,7.8,Isabella Rossellini,146768,David Lynch,1986,1,0.425204667,40,FALSE,793,tt0090756,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",7.882247,It's a strange world.,Blue Velvet,"Crime, Drama, Mystery, Thriller",en,US,"small town, ear, suspense, independent film, policeman, ear cut off",1986,-1.0442472656538013,1.0392409586655489,1.816498134545143,1.3633607905976894,-0.08830318318961579
2,16000000,Other,Other,Other,Action,5900000,Highlander,R,7.03.1986 00:00,116,7.2,Christopher Lambert,104860,Gregory Widen,1986,0,-0.63125,-60,FALSE,8009,tt0091203,Highlander,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,16.870392000000002,There can be only one.,Highlander,"Adventure, Action, Fantasy",en,"GB, US","new york, scotland, swordplay, sword, cut-off head, immortality",1986,-0.6179264716026508,0.7549297396373484,1.1029548491864012,0.695145040456454,2.4414163780927347
3,6000000,Twentieth Century Fox Film Corporation,USA,Other,Comedy,8200000,Lucas,PG-13,28.03.1986 00:00,100,6.8,Corey Haim,12228,David Seltzer,1986,1,0.3666666670000001,40,FALSE,13346,tt0091445,Lucas,"A socially inept fourteen year old experiences heartbreak for the first time when his two best friends -- Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love -- fall for each other.",4.57535,It's about falling in love.  For the first time.,Lucas,"Comedy, Drama, Romance",en,US,"high school, american football team, cheerleading",1986,-1.0442472656538013,-0.38231513647545284,0.627259325613906,-0.7818560420834648,-1.0190316069128553
4,25000000,Twentieth Century Fox Film Corporation,USA,Other,Action,11100000,Big Trouble in Little China,PG-13,2.07.1986 00:00,99,7.3,Kurt Russell,101678,Gary Goldman,1986,0,-0.556,-60,FALSE,6978,tt0090728,Big Trouble in Little China,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",11.109932,Adventure doesn't come any bigger!,Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy","cn, en",US,"kung fu, chinatown, magic, mystery",1986,-0.2342377569566153,-0.45339294123250296,1.2218787300795244,0.6444086054810457,0.8201309689249332
5,15000000,Other,USA,Other,Crime,8620929,Manhunter,R,15.08.1986 00:00,120,7.2,William Petersen,54000,Thomas Harris,1986,0,-0.4252714,-40,FALSE,11454,tt0091474,Manhunter,"FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer.",0.338943,Enter the mind of a serial killer… you may never come back,Manhunter,"Crime, Horror, Thriller",en,US,"loss of family, covered investigation, eye, full moon, investigation, psychopath, psychoterror, serial killer, fbi agent",1986,-0.6605585510077658,1.0392409586655489,1.1029548491864012,-0.11580878822024815,-2.2113712562457795
6,10000000,Other,USA,Other,Action,7433663,Maximum Overdrive,R,25.07.1986 00:00,98,5.4,Emilio Estevez,24881,Stephen King,1986,0,-0.2566337,-30,FALSE,9980,tt0091499,Maximum Overdrive,"When a comet passes close to the earth, machines all over the world come alive and go on homicidal rampages. A group of people at a desolate truck stop are held hostage by a gang of homicidal 18-wheelers. The frightened people set out to defeat the killer machines ... or be killed by them.",6.614078,Stephen King's masterpiece of terror directed by the master himself.,Maximum Overdrive,"Action, Drama, Horror, Science Fiction",en,US,"man vs machine, gas station, roadhouse, apparats and technics, siege, lorry, comet, automation, truck, arcade, exploding truck, exploding gasoline station",1986,-0.873718948033341,-0.524470745989553,-1.0376750068898253,-0.5801061640998567,-0.4452302161104103
7,25000000,Other,USA,Other,Comedy,38747385,Little Shop of Horrors,PG-13,19.12.1986 00:00,94,6.9,Rick Moranis,53327,Howard Ashman,1986,1,0.5498954,50,FALSE,10776,tt0091419,Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",7.409178999999999,Don't feed the plants.,Little Shop of Horrors,"Horror, Comedy, Music",en,US,"flower, solar eclipse, florist, assistant, plant, success, aggression by plant, investigation, nerd, blonde, carnivorous plant, remake, crush, based on play or musical, motorcycle, eclipse, part animated, dentist, bum, killer plant, skid row, based on movie, plant food, flesh eating plant, inept assistant, cult classic, man eating plant",1986,-0.2342377569566153,-0.8087819650177533,0.7461832065070303,-0.126539655831326,-0.22144849553345536
8,2700000,Other,USA,Other,Action,3500000,The Wraith,PG-13,21.11.1986 00:00,93,5.9,Charlie Sheen,11635,Mike Marvin,1986,1,0.296296296,30,FALSE,10017,tt0092240,The Wraith,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way...",7.657918,He's not from around here...,The Wraith,"Romance, Science Fiction, Horror, Action, Crime",en,"US, CA","male nudity, female nudity, sex, killing, sheriff, car race, cemetery, shotgun, arizona, nudity, reincarnation, police, auto-tuning, street race, revenge, murder, car crash, alien, independent film, gang, motorcycle, violence, car chase, cult film, ghost, road movie, drag racing, roller skates, strange person, budweiser, turbo intercepter",1986,-1.184933127690681,-0.8798597697748034,-0.4430556024242068,-0.7913113236486493,-0.15144073375905012
9,35000000,Universal Pictures,USA,Other,Action,16295774,Howard the Duck,PG,1.08.1986 00:00,110,4.6,Lea Thompson,36020,Steve Gerber,1986,0,-0.534406457,-50,FALSE,10658,tt0091225,Howard the Duck,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,10.722672,You will believe that a duck can talk.,Howard the Duck,"Comedy, Fantasy, Science Fiction","en, pt",US,"duck, physicist, extraterrestrial, anthropomorphism, alien invasion, alternative reality",1986,0.1920830370945352,0.32846291109504794,-1.9890660540348157,-0.4024967520347803,0.7111363769037535
